Run,AE1,AE2,AE3,AE4,OIL,WATER,CO,CO2,VEL
7.1000000000000000e+01,1.8680976706002657e+04,7.3541190177847995e+04,8.7500785245657025e+04,8.9277197081258171e+04,4.0877999999999998e-01,1.0974999999999999e+00,1.9123999999999999e-01,1.9145999999999999e-01,9.0606060606060612e-01
7.2000000000000000e+01,2.6723444590219737e+04,6.9944426177724570e+04,9.1618323635595909e+04,1.0293992300326364e+05,4.9970999999999999e-01,1.0270999999999999e+00,1.4365000000000000e-01,1.4366999999999999e-01,5.1515151515151514e-01
7.3000000000000000e+01,2.5810502705673109e+04,6.9056136618473567e+04,7.6402286429521992e+04,8.0637552380473819e+04,4.9413000000000001e-01,1.0266999999999999e+00,1.4763000000000001e-01,1.4785000000000001e-01,5.8333333333333326e-01
7.4000000000000000e+01,2.6555909784300133e+04,5.4368467286038045e+04,8.7146548597927831e+04,7.8045377244561241e+04,5.1275000000000004e-01,1.0028999999999999e+00,1.3980000000000001e-01,1.3980000000000001e-01,7.1363636363636362e-01
7.5000000000000000e+01,2.7403861976698659e+04,7.2700211840994889e+04,8.7516506845419499e+04,8.8959181483509819e+04,5.0446999999999997e-01,1.0230999999999999e+00,1.4058999999999999e-01,1.4065000000000000e-01,4.7272727272727272e-01
7.6000000000000000e+01,1.8948493581732680e+04,7.1876847031194891e+04,7.1485089812525955e+04,7.4572036725623126e+04,4.2442999999999997e-01,1.0832999999999999e+00,1.8368000000000001e-01,1.8512999999999999e-01,9.0909090909090906e-01
7.7000000000000000e+01,2.3199178550671411e+04,5.6192364690927236e+04,9.8635199385086860e+04,1.0143169531485431e+05,4.9834000000000001e-01,1.0148999999999999e+00,1.4743000000000001e-01,1.4743000000000001e-01,9.0151515151515160e-01
7.8000000000000000e+01,2.5046444249774948e+04,5.7616393858409509e+04,9.3086183851790760e+04,9.0669417930379379e+04,5.0099000000000005e-01,1.0136000000000001e+00,1.4520000000000000e-01,1.4520000000000000e-01,7.6363636363636356e-01
7.9000000000000000e+01,2.7351365903827536e+04,7.0992972004691139e+04,9.8011570137334056e+04,8.8336717514169097e+04,5.0761000000000001e-01,1.0202000000000000e+00,1.4054000000000000e-01,1.4055000000000001e-01,4.8181818181818187e-01
8.0000000000000000e+01,2.2378001834807848e+04,7.5718409716774826e+04,7.2921443520061992e+04,7.6794156273857821e+04,4.4871000000000000e-01,1.0581000000000000e+00,1.6977999999999999e-01,1.7119000000000001e-01,8.0000000000000004e-01
8.1000000000000000e+01,1.9995175240694851e+04,6.4077133102276115e+04,9.9098290999367440e+04,1.0092111809768785e+05,4.4611000000000001e-01,1.0598000000000001e+00,1.7086999999999999e-01,1.7088000000000000e-01,9.0454545454545465e-01
8.2000000000000000e+01,1.8956334848363022e+04,6.4300108252443824e+04,8.8440654067790354e+04,8.7004780845508329e+04,4.3874000000000002e-01,1.0651999999999999e+00,1.7474999999999999e-01,1.7477999999999999e-01,9.0303030303030307e-01
8.3000000000000000e+01,2.4443110996958108e+04,7.0429686026294788e+04,8.0219442798660020e+04,8.7539442128953931e+04,4.7610999999999998e-01,1.0394000000000001e+00,1.5620999999999999e-01,1.5637999999999999e-01,7.0909090909090911e-01
8.4000000000000000e+01,1.8542481555851373e+04,7.9972907813361322e+04,7.5850894347012960e+04,7.5823788417431904e+04,3.9751999999999998e-01,1.1072000000000000e+00,1.9642999999999999e-01,1.9925000000000001e-01,9.0909090909090906e-01
8.5000000000000000e+01,2.1826169608510940e+04,5.8909573188151720e+04,8.7139067330560836e+04,8.4221762882067269e+04,4.8370000000000002e-01,1.0267999999999999e+00,1.5365999999999999e-01,1.5367000000000000e-01,9.0151515151515149e-01
8.6000000000000000e+01,2.7155000275955088e+04,7.8264898667619913e+04,7.1843694918827736e+04,9.8562891438611870e+04,1.9153000000000001e-01,1.1484000000000001e+00,9.4977900000000007e-03,9.4981600000000003e-03,2.8030303030303033e-01
