Run,ISC,IS,n,RS,RP,Pmax,dISC,dIS,dn,dRS,dRP
7.5000000000000000e+01,1.7375777566749517e-01,3.6471161918123032e-10,1.7413278866264292e+00,4.8817229076229773e-01,2.7254969343927223e+02,1.1093786792252119e-01,5.5461538889245432e-02,-3.2457669843499737e-02,3.4932402803722340e-02,-6.2699318237324775e-03,8.0193054974309064e-04
7.6000000000000000e+01,1.8847054782690767e-01,1.8991100452081780e-08,1.4866916482667936e+00,6.4327095498352016e-01,1.8791090120391152e+02,7.0296221934884787e-02,2.8444959443429951e-02,-2.8967688192604868e-02,2.9330211551159557e-02,-6.8227034438761436e-03,5.1311162263534271e-04
7.7000000000000000e+01,1.5611362684701474e-01,5.5361951533690700e-11,1.5781369893030972e+00,5.7013183740530948e-01,1.7309430858280169e+02,9.8088990829864095e-02,5.4550038056100369e-02,-2.6021300669754055e-02,3.3912877228647886e-02,-4.9529377682544506e-03,1.9289055352977869e-03
7.8000000000000000e+01,7.3300779455317017e-02,1.0801672418270577e-10,1.8968110889991725e+00,4.7147829711487094e-01,1.7810705694592008e+02,5.3003438083736427e-02,7.0713097960473092e-02,-1.3594788773885202e-02,1.3513283964039502e-02,-9.7248197689081550e-04,2.8248270528274944e-03
7.9000000000000000e+01,8.7449604390092167e-02,1.1037861154453282e-07,1.0447104929374733e+00,3.3135275902556915e-01,1.5499434493649451e+02,2.1339480852132074e-02,2.2468057768454397e-02,-9.3839569656473110e-03,1.0934405485218956e-02,-1.4637748305124099e-03,3.9727620498863914e-04
8.0000000000000000e+01,1.8273426919104718e-01,3.1340985773065988e-08,1.1276413178983471e+00,3.7131228350363432e-01,2.1375485587599843e+02,5.2825831126945916e-02,2.3640799144686309e-02,-2.1632978387808866e-02,2.7608176259019679e-02,-6.5998141327017201e-03,2.5560342037378447e-04
8.1000000000000000e+01,1.1986795490463711e-01,2.8689807816864538e-08,1.1088064689724582e+00,4.5801297963514459e-01,1.2248323720461562e+02,3.3765894609476488e-02,2.4254299881010244e-02,-1.3657326436433692e-02,1.7197166933546892e-02,-2.7521143766695566e-03,7.8518145457673327e-04
8.2000000000000000e+01,2.1118270604585590e-01,7.1063682362417279e-08,1.4750147657297501e+00,3.4259189110852051e-01,2.4336000777688074e+02,7.7820016357057820e-02,3.1211738943381917e-02,-3.2740223671057223e-02,3.0298689890351227e-02,-8.8353834387655539e-03,3.3287186895769594e-04
8.3000000000000000e+01,2.3023024579220613e-01,9.5786967208458946e-08,1.8464801997469737e+00,3.6491450850744500e-01,2.4823125751239343e+02,1.0524646742453472e-01,3.9210212299245484e-02,-4.4615728028718493e-02,3.2412754813471167e-02,-1.0478985429385190e-02,4.9938667090465572e-04
8.4000000000000000e+01,1.9495731042186545e-01,1.1586884907417794e-07,1.7307076446461465e+00,1.6747430251281786e-01,2.3893566866708704e+02,8.7860717255826046e-02,4.2138592157292543e-02,-3.5708240420095905e-02,2.6588310164665785e-02,-7.6591829545336054e-03,5.7163131172988102e-04
